dong,noin,,,"2,169 "
신북읍,2088,,,"2,379 "
동면,2223,,,549 
동산면,513,,,735 
신동면,697,,,"2,452 "
남면,442,,,454 
서면,1384,,,"1,159 "
사북면,895,,,"1,443 "
북산면,399,,,921 
동내면,2301,,,413 
남산면,1104,,,855 
교동,826,,,802 
조운동,782,,,679 
약사명동,729,,,"1,579 "
근화동,1515,,,"1,879 "
소양동,1795,,,"2,459 "
후평1동,2369,,,"2,167 "
후평2동,2092,,,"3,398 "
후평3동,3044,,,920 
효자1동,917,,,"2,554 "
효자2동,2463,,,928 
,28578,,노인인구,"4,714 "
,280053,,0.152653248,"5,633 "
,,,,"2,855 "
,,,,"3,203 "
,,,,"42,751 "
